1000 5000
312 689 13
734 681 25
125 912 7
360 106 18
866 846 21
648 668 3
47 283 16
269 297 4
651 262 10
414 342 18
500 991 25
353 759 24
158 800 18
27 87 20
697 294 16
129 535 3
531 312 7
331 20 8
47 74 4
528 621 21
46 551 29
774 879 1
286 434 14
876 161 25
438 87 7
348 346 8
352 457 7
364 58 13
756 313 12
401 262 30
35 113 28
500 100 22
886 815 19
781 402 13
156 239 14
908 960 20
544 953 16
114 640 17
583 501 16
196 865 15
812 989 4
473 639 1
329 364 22
487 93 16
671 580 19
887 967 19
241 844 26
286 685 3
334 394 26
330 316 12
156 886 1
602 937 27
563 891 25
892 112 16
469 199 25
266 195 22
873 144 8
259 831 21
651 676 12
669 245 4
406 552 29
241 720 12
513 988 12
438 842 23
471 170 26
97 178 25
884 373 13
211 610 2
849 182 18
248 757 30
181 747 5
40 476 11
201 154 2
931 63 16
177 679 4
592 0 10
775 223 13
412 674 12
562 332 8
165 329 22
531 450 26
16 526 7
608 651 27
658 210 8
362 999 30
269 561 10
375 989 28
423 561 11
289 302 19
817 138 8
785 959 2
421 76 12
252 492 6
410 67 13
500 547 28
969 423 17
545 428 1
74 698 22
149 150 26
164 358 22
605 278 27
218 525 22
886 233 6
941 491 12
433 905 24
583 602 24
238 849 29
66 73 26
390 208 24
923 418 29
325 571 17
152 699 19
591 640 10
463 222 17
66 152 20
520 401 7
123 192 9
876 156 18
896 944 26
125 471 30
660 597 21
400 555 7
279 234 15
596 541 15
815 8 11
173 790 15
898 267 15
744 707 4
185 228 18
782 960 9
288 585 14
50 993 27
541 110 2
447 199 8
233 605 2
489 732 5
898 840 21
678 502 22
350 205 9
356 949 11
414 198 2
696 103 16
528 756 5
200 580 8
364 655 13
299 96 12
681 947 9
743 521 23
640 148 22
404 777 11
410 22 29
860 120 11
76 756 25
559 30 23
371 703 26
783 866 13
217 865 2
664 501 13
747 364 16
698 630 16
366 361 12
709 643 23
808 367 20
67 936 24
416 370 9
238 530 12
267 368 1
99 378 20
233 604 21
714 284 28
796 22 8
772 80 9
37 557 21
195 17 25
349 0 10
993 383 11
209 599 10
30 476 4
705 165 13
204 96 5
88 202 12
