10000 100000
312 7689 13
2734 1681 25
8125 1912 7
360 7106 18
8866 9846 21
1648 5668 3
5047 3283 16
8269 8297 4
9651 1262 10
9414 1342 18
3500 2991 25
7353 1759 24
3158 800 18
8027 8087 20
9697 6294 16
4129 9535 3
9531 312 7
331 5020 8
9047 5074 4
5528 8621 21
5046 2551 29
5774 7879 1
2286 434 14
8876 8161 25
1438 87 7
7348 3346 8
4352 1457 7
5364 1058 13
2756 2313 12
2401 4262 30
9035 8113 28
500 6100 22
1886 5815 19
781 8402 13
3156 5239 14
2908 9960 20
2544 5953 16
8114 3640 17
6583 3501 16
9196 2865 15
7812 4989 4
2473 8639 1
329 8364 22
8487 5093 16
5671 6580 19
7887 1967 19
1241 6844 26
286 1685 3
334 5394 26
2330 6316 12
5156 1886 1
2602 4937 27
5563 6891 25
7892 6112 16
7469 199 25
266 8195 22
7873 6144 8
1259 3831 21
4651 2676 12
3669 3245 4
9406 552 29
9241 720 12
1513 6988 12
2438 5842 23
5471 5170 26
5097 3178 25
884 2373 13
7211 2610 2
2849 182 18
4248 3757 30
7181 9747 5
8040 7476 11
2201 5154 2
3931 63 16
2177 1679 4
1592 6000 10
3775 2223 13
4412 8674 12
7562 5332 8
5165 2329 22
6531 5450 26
4016 1526 7
9608 6651 27
8658 1210 8
7362 4999 30
7269 3561 10
375 5989 28
5423 7561 11
8289 7302 19
3817 8138 8
2785 7959 2
7421 1076 12
9252 1492 6
4410 8067 13
500 547 28
6969 3423 17
3545 4428 1
5074 698 22
7149 5150 26
7164 3358 22
4605 2278 27
2218 5525 22
3886 7233 6
3941 1491 12
2433 4905 24
9583 9602 24
9238 849 29
5066 3073 26
8390 1208 24
7923 418 29
3325 571 17
2152 8699 19
2591 640 10
9463 6222 17
1066 1152 20
7520 6401 7
7123 5192 9
9876 156 18
2896 1944 26
3125 471 30
1660 1597 21
7400 5555 7
6279 2234 15
4596 5541 15
2815 3008 11
7173 1790 15
2898 3267 15
4744 2707 4
2185 5228 18
8782 3960 9
4288 8585 14
50 3993 27
1541 6110 2
3447 2199 8
8233 4605 2
2489 732 5
8898 1840 21
9678 3502 22
7350 9205 9
3356 6949 11
8414 3198 2
2696 6103 16
1528 6756 5
200 9580 8
4364 655 13
5299 4096 12
3681 947 9
743 1521 23
4640 5148 22
4404 7777 11
3410 22 29
5860 4120 11
76 1756 25
7559 1030 23
5371 2703 26
1783 6866 13
3217 9865 2
8664 5501 13
4747 364 16
698 4630 16
6366 5361 12
2709 9643 23
6808 4367 20
1067 3936 24
6416 9370 9
8238 3530 12
7267 2368 1
9099 3378 20
7233 5604 21
1714 1284 28
8796 4022 8
2772 5080 9
