1000 10000
125 895 6
935 305 8
973 618 18
984 823 12
195 288 20
232 324 15
364 472 7
38 575 6
674 922 8
897 313 3
993 545 3
305 946 5
71 917 15
941 688 20
846 997 15
612 539 16
548 978 20
619 646 15
193 863 15
674 461 15
120 729 2
466 777 1
6 363 17
898 533 1
721 871 9
647 550 11
647 489 3
131 451 7
971 923 14
446 98 3
40 458 3
963 362 12
957 587 5
904 962 16
551 711 18
995 881 7
691 679 9
328 878 10
859 572 12
368 998 11
209 223 7
972 767 7
189 688 3
321 912 5
353 799 19
330 609 7
830 939 13
837 310 13
23 937 12
662 723 5
930 684 17
819 999 9
482 365 4
204 164 11
287 272 10
841 637 11
695 630 17
299 105 18
22 714 4
212 198 12
114 193 19
188 774 15
481 773 14
436 905 19
471 668 10
229 131 6
748 348 14
896 711 11
507 320 18
220 273 7
67 673 10
533 246 18
304 524 5
688 869 11
108 944 15
942 482 13
822 93 6
140 315 17
98 969 9
394 745 18
751 345 14
395 371 16
72 114 3
657 53 7
642 478 2
281 442 13
594 610 13
249 196 7
367 364 6
741 290 17
316 915 13
2 444 14
739 824 14
372 953 9
641 515 5
561 764 4
282 889 3
376 164 15
482 808 18
761 692 3
518 526 20
164 418 16
535 571 13
603 856 19
779 536 20
157 568 18
595 46 16
679 764 11
279 826 3
146 719 20
412 400 18
479 435 3
442 749 7
178 705 4
283 422 5
696 980 1
711 534 18
224 582 10
574 50 12
986 930 18
778 697 12
830 665 4
429 662 8
609 940 4
260 252 8
581 918 8
667 887 8
460 295 3
761 104 1
28 645 5
284 592 14
828 443 5
442 66 1
944 394 7
899 268 3
215 395 14
656 879 2
859 932 2
489 539 7
180 142 14
209 981 18
304 623 13
16 60 4
136 793 18
752 767 3
512 711 9
377 471 19
137 917 10
676 772 12
317 780 20
49 737 5
922 481 18
167 670 14
342 562 14
762 76 6
114 138 18
276 677 14
356 127 1
320 986 7
903 426 20
41 751 17
36 713 5
948 613 7
321 355 14
59 565 15
355 964 8
473 761 10
212 366 19
266 25 8
307 716 3
739 177 16
586 493 8
177 966 17
481 619 13
435 278 11
476 819 14
476 889 4
719 817 18
747 339 1
722 304 7
286 974 20
297 344 2
815 458 2
792 768 12
339 515 2
921 711 11
309 803 15
13 759 3
208 921 8
621 695 15
631 326 7
94 788 1
354 522 13
161 365 5
577 196 8
710 560 17
58 460 1
192 460 14
200 994 12
78 691 5
378 699 15
729 340 16
383 513 9
19 406 2
790 502 17
363 5 17
543 98 15
371 280 13
337 840 14
918 801 18
111 204 3
546 179 11
337 177 7
875 987 11
373 124 18
838 947 19
601 721 15
748 342 16
96 832 11
281 76 5
90 257 12
262 622 7
188 556 15
850 508 8
507 964 14
717 23 8
822 306 3
346 699 19
822 258 4
349 870 8
608 74 13
212 541 9
312 836 4
155 671 20
589 198 20
850 343 12
135 394 10
717 433 2
121 109 17
390 79 12
7 225 20
674 979 13
160 741 1
597 729 1
309 147 1
857 386 11
953 708 5
746 980 16
90 900 8
369 616 15
596 278 16
481 906 19
792 71 19
450 291 16
317 406 7
563 335 19
955 856 9
424 466 6
395 799 18
102 320 1
841 23 6
445 535 17
8 389 1
959 467 5
441 214 20
622 801 11
770 210 17
574 381 13
321 108 14
263 981 11
437 506 6
855 904 12
50 613 2
685 820 19
282 964 14
760 238 3
378 760 4
226 890 5
489 612 4
313 148 5
508 833 9
747 273 5
871 474 15
960 379 3
237 11 18
935 258 6
491 202 12
198 402 4
247 139 18
847 589 9
400 121 6
299 992 18
443 320 17
818 749 12
872 902 10
287 909 2
684 257 2
760 524 2
674 282 20
645 810 17
999 805 15
217 598 2
223 434 16
873 349 7
568 628 9
524 419 17
359 993 2
982 439 18
928 608 11
316 704 19
1 477 7
852 656 10
876 925 1
127 297 10
325 781 20
17 529 17
313 655 14
939 749 9
356 253 13
675 619 18
668 966 20
775 562 13
117 935 12
284 616 13
968 633 18
70 527 20
502 8 17
172 510 1
738 945 5
826 6 9
672 683 13
674 131 7
457 543 18
709 953 13
389 721 6
513 181 18
169 864 4
703 516 15
786 145 20
82 616 6
7 130 17
912 751 12
846 381 11
137 838 16
818 251 4
630 304 20
570 580 1
967 430 8
520 888 10
877 454 3
851 169 20
284 403 11
475 768 2
270 344 8
542 892 12
205 338 3
394 603 2
724 565 8
983 372 13
475 785 2
594 210 20
953 937 10
475 291 6
17 552 13
531 62 6
511 947 16
624 845 18
72 445 18
990 328 20
287 106 19
952 136 12
695 505 10
438 141 2
144 499 7
500 337 16
578 171 7
0 734 4
492 718 16
740 850 5
121 336 5
142 454 4
582 921 14
119 423 5
614 347 9
211 326 13
939 425 18
216 457 10
975 563 2
10 529 5
273 56 13
30 572 6
768 634 20
440 664 13
930 518 12
938 318 19
911 633 12
651 999 13
516 75 4
972 429 2
605 141 10
581 439 5
473 24 16
649 295 19
665 813 1
41 759 2
49 317 18
392 573 8
357 37 8
901 555 5
809 644 5
998 237 10
897 870 17
635 785 10
719 651 6
222 69 3
279 290 15
291 881 15
403 940 11
93 517 10
289 48 19
135 417 8
150 383 12
540 295 12
85 790 5
35 989 3
565 725 6
744 528 5
584 151 1
146 680 10
778 917 20
156 700 12
280 427 15
316 62 9
697 78 9
143 52 19
322 613 15
978 968 10
800 181 3
544 719 1
438 87 10
28 673 19
290 611 3
284 771 5
671 120 12
980 104 14
429 889 16
557 635 14
327 732 17
808 582 8
76 134 20
93 157 4
315 242 20
416 723 4
728 723 17
234 197 7
846 110 14
378 314 3
711 178 19
453 474 7
259 773 1
870 892 11
167 354 6
636 825 12
101 390 9
104 595 10
438 909 9
836 7 11
275 757 13
644 218 4
599 722 5
767 198 8
108 456 6
766 838 9
463 829 7
239 3 20
68 70 13
218 400 12
33 71 12
789 958 5
659 999 8
190 164 5
687 894 11
107 601 9
471 81 9
